id;date;details;sent_date;format;user_id;product_id
1;2020-06-17T18:26:01;Pants;2020-06-17T17:29:08;EMAIL;85879;74892
2;2020-06-17T15:11:09;purple Shores transmitting;2020-06-17T19:52:55;PARCEL;17246;64767
3;2020-06-17T12:39:12;Credit Card Account Yen District;2020-06-18T03:51:09;EMAIL;97027;30370
4;2020-06-17T04:26:00;Table stable asymmetric;2020-06-18T00:03:45;SMS;40687;84210
5;2020-06-17T21:41:43;Corporate;2020-06-17T07:22:43;EMAIL;72330;38405
6;2020-06-17T12:26:04;Borders;2020-06-17T17:59:18;PARCEL;58000;93789
7;2020-06-17T05:13:15;Jewelery;2020-06-17T10:33:28;PARCEL;14833;58
8;2020-06-18T00:30:45;Associate;2020-06-17T22:07:27;SMS;54535;45576
9;2020-06-17T10:07:10;bluetooth;2020-06-17T17:28:20;PARCEL;15501;41123
10;2020-06-18T01:11:56;Lithuanian Litas Chief;2020-06-17T13:45:57;SMS;7539;39233
