id;name;description;locked;code
1;Table;projection Versatile;false;ivory bypassing SCSI
2;HTTP e-commerce;Fresh;true;programming Berkshire Chips
3;Kentucky synthesize;Electronics;true;Soap Chad Regional
4;architectures red;Dominica;true;Tasty Cotton Towels fresh-thinking Designer
5;array;Chicken violet;true;North Carolina Music
6;Investment Account pink Investor;compress;false;plug-and-play
7;Versatile real-time Rustic;Handcrafted Thailand;true;Communications
8;revolutionize Tonga;withdrawal fresh-thinking;true;Liechtenstein
9;invoice;United States of America invoice;false;Avon
10;Intelligent Central bricks-and-clicks;driver Money Market Account Wooden;true;tertiary
