id;name;description;so_chuong;nguon;image;image_content_type;fulls;hot;news;locked;code;author_id
1;Manager encryption;Global;90247;application;../fake-data/blob/hipster.png;image/png;false;true;false;false;Mobility Arizona payment;1
2;maximized firewall;demand-driven;74738;benchmark Saint Pierre and Miquelon;../fake-data/blob/hipster.png;image/png;true;true;false;false;port;2
3;indexing;withdrawal;91068;Grocery;../fake-data/blob/hipster.png;image/png;true;false;true;false;Comoros;3
4;olive;Frozen navigating;42279;technologies online payment;../fake-data/blob/hipster.png;image/png;false;true;false;false;Nicaragua;4
5;Intelligent Cotton Shoes;Taka;90391;hack Handmade Rubber Pizza white;../fake-data/blob/hipster.png;image/png;true;false;false;false;Intelligent Granite Sausages Home;5
6;Division parallelism;virtual;8955;green Granite Indiana;../fake-data/blob/hipster.png;image/png;false;false;false;true;Mauritius Consultant;6
7;Lakes;parse;42341;Auto Loan Account;../fake-data/blob/hipster.png;image/png;true;true;true;false;Industrial Soap Money Market Account;7
8;well-modulated;Fantastic Plastic Bike web services;39089;compressing withdrawal Licensed Fresh Soap;../fake-data/blob/hipster.png;image/png;true;false;false;true;Gorgeous Plastic Chips initiative index;8
9;Buckinghamshire;Intelligent Analyst Andorra;88682;Handcrafted Chicken;../fake-data/blob/hipster.png;image/png;false;true;false;true;grey Avon;9
10;RSS;Glen;15953;firewall;../fake-data/blob/hipster.png;image/png;false;false;true;false;Walk Auto Loan Account;10
