id;name;description;code
1;Baby;solid state incremental;Gourde US Dollar Generic Steel Car Croatia
2;Program;Steel;navigate
3;metrics Money Market Account;neural Metrics;quantify Specialist Ergonomic
4;Inverse;North Korean Won;Libyan Dinar Auto Loan Account
5;markets Rubber;context-sensitive Advanced clear-thinking;approach
6;Borders;Direct Director Unbranded Concrete Keyboard;Principal local
7;killer withdrawal;Fantastic Concrete Hat;Berkshire
8;Incredible vertical;Strategist Direct;Soft indexing Valley
9;compelling;Netherlands Antillian Guilder mesh Metical;internet solution alliance bandwidth
10;Optimization;Pound Sterling supply-chains;directional visionary backing up
